1,2.1,Ant,2.1,Ants Description,,0,,,,08/07/2006 00:00:00,437,,1,AT
5,2,Climate,2,Climate Description,,1,,,,08/07/2006 00:00:00,437,,5,CL
2,3,Avian,3.1,Avian Description,,1,,,,08/07/2006 00:00:00,437,,2,AV
2,3,Avian,3,Avian Description,,0,,,,08/07/2006 00:00:00,437,,9,AV
8,1.3,Vegetation - Trees & Lianas,1.4,Vegetation Description,,1,,,,08/07/2006 00:00:00,437,,8,VG
8,1.3,Vegetation - Trees & Lianas,1.3,Vegetation Description,,0,,,,03/31/2009 16:46:26,437,,10,VG
7,1,Primate,1,Primate Description,,1,,,,08/07/2006 00:00:00,437,,7,PR
6,1.4,Vegetation - Litterfall,1.4,Litterfal Description,,1,,,,08/07/2006 00:00:00,437,,6,VL
3,2.1,Butterfly,2.1,Butterfly Description,,1,,,,08/07/2006 00:00:00,437,,3,BT
4,1,Terrestrial Vertebrate,1,Camera Trap Description,,1,,,,08/07/2006 00:00:00,437,,4,TV
8,1.4,Vegetation - Trees & Lianas,1.5,Vegetation Description,,1,,,,08/07/2006 00:00:00,437,,11,VG
5,2,Climate,3,Climate Description,,1,,,,05/07/2010 00:00:00,437,,12,CL
